key_mlbam,name_first,name_last,team,at_bats,Throws,PAVE,PAVE_PLUS,Power_A_PLUS,Expected_Hits,Expected_Bases,Expected_HRs,Fastball_Rate,Breaking_Rate,Offspeed_Rate
621345,A. J.,Minter,MIN,140,L,0.1751053705829825,0.7354015550725551,0.7753648325853641,3.619326119828462,5.966108673557919,0.5984176148335439,0.8666054594118657,0.0,0.13339454058813421
686894,Joey,Wiemer,WSH,15,R,0.17499999999999996,0.7349590232968233,0.6290139846673596,3.0799999999999996,4.84,0.44,0.15348837209302327,0.11860465116279069,0.027906976744186046
624428,Adam,Frazier,LAA,14,R,0.17499999999999996,0.7349590232968233,0.6739435550007425,3.3,5.185714285714286,0.47142857142857136,0.1733333333333333,0.02666666666666667,0.09999999999999999
695418,Brad,Lord,WSH,304,R,0.17482138636512418,0.73420888785319,0.6954619519962782,3.3559837398373986,5.351289366709456,0.5481537227214378,0.6381645386077164,0.3140323218255096,0.04780313956677396
670970,Adrián,Morejón,SD,301,L,0.17433609723609728,0.7321707871429833,0.5990339156565054,3.5379631731208403,4.609315885577218,0.251392995389842,0.6196726479291478,0.10960117114138945,0.2707261809294627
686993,Justin,Sterner,ATH,180,R,0.17414285714285713,0.731359223999043,0.936032715278809,3.4938095238095235,7.2023809523809526,0.9454761904761904,0.3743828312450013,0.15561716875499867,0.0
667652,Jack,Ralston,MIA,26,R,0.1739130434782609,0.7303940604192035,0.7697723588586569,3.384615384615385,5.9230769230769225,0.8461538461538463,0.08653846153846154,0.25961538461538464,0.653846153846154
694335,Matt,Svanson,STL,203,R,0.1738095238095238,0.7299593020499062,0.6032080419715226,3.394526546250684,4.64143404488232,0.1625615763546798,0.35606068641563754,0.17393931358436246,0.0
682982,Daniel,Espino,CLE,34,R,0.17314285714285715,0.7271594581516326,0.6376635276192409,3.5347899159663867,4.9065546218487395,0.34294117647058825,0.5653424657534247,0.43465753424657533,0.0
693645,Cam,Schlittler,NYY,669,R,0.17310028050534498,0.7269806462435114,0.7275046213557701,3.475911500023906,5.597844329683697,0.4608347365549612,0.8745029063606491,0.12549709363935083,0.0
669371,Cole,Henry,WSH,70,R,0.1726906779661017,0.725260411488185,0.9035835811491436,3.289523809523809,6.952698412698412,0.9393650793650793,0.3567263056092843,0.17327369439071566,0.0
668964,Tobias,Myers,NYM,195,R,0.1723784872016106,0.7239492833775982,0.835403743650234,3.493137973137973,6.4280830280830275,0.5455677655677655,0.30250985915492956,0.10249690140845069,0.12499323943661972
656212,Charlie,Barnes,LAD,63,L,0.1715844155844156,0.7206143685193047,0.7928600174700389,3.3788471177944865,6.100726817042606,0.7137593984962405,0.2771615606179628,0.15875621890547262,0.09408222047656453
642100,Gabe,Speier,SEA,156,L,0.17134990864451297,0.719629494282121,0.7878823604163506,3.397960622710623,6.062425824175824,0.7006950549450549,0.7595843203978798,0.2399072050258491,0.0005084745762711864
687223,Carson,Palmquist,WSH,76,L,0.17123076923076924,0.7191291366411996,0.5582875318459102,3.2218421052631587,4.29578947368421,0.15342105263157893,0.3081789137380192,0.22182108626198083,0.0
