key_mlbam,Current_Hit_Streak,last_game_date,name_first,name_last,team
680664,2,2026-09-12,Eduardo,Valencia,DET
647304,2,2026-09-12,Josh,Naylor,SEA
669720,2,2026-09-12,Austin,Hays,SD
814430,2,2026-09-12,Brett,Callahan,DET
641857,2,2026-09-11,Ryan,McMahon,NYY
691406,2,2026-09-12,Junior,Caminero,TB
676356,2,2026-09-12,Jonny,DeLuca,TB
700250,2,2026-09-11,Ben,Rice,NYY
672275,2,2026-09-09,Patrick,Bailey,CLE
687597,2,2026-09-12,Jordan,Beck,COL
660670,2,2026-09-12,Ronald,Acuña,ATL
686469,2,2026-09-12,Vinnie,Pasquantino,KC
521692,2,2026-09-12,Salvador,Pérez,KC
672960,2,2026-09-12,Kazuma,Okamoto,TOR
668904,2,2026-09-12,Royce,Lewis,MIN
643289,2,2026-09-12,Mauricio,Dubón,ATL
641680,2,2026-09-12,Jonah,Heim,ATH
664034,2,2026-09-09,Ty,France,SD
681393,2,2026-09-12,Connor,Norby,COL
683002,2,2026-09-12,Gunnar,Henderson,BAL
573262,2,2026-09-11,Mike,Yastrzemski,ATL
663616,2,2026-09-11,Trevor,Larnach,MIN
641487,2,2026-09-12,J. P.,Crawford,SEA
680777,2,2026-09-11,Ryan,Jeffers,MIN
620443,2,2026-09-12,Luis,Torrens,NYM
683737,2,2026-09-12,Michael,Busch,CHC
660688,2,2026-09-12,Keibert,Ruiz,WSH
667472,2,2026-09-12,Dane,Myers,CIN
687957,2,2026-09-12,Dustin,Harris,SD
803011,2,2026-09-12,Sam,Antonacci,CWS
669236,2,2026-09-12,Jeremiah,Jackson,BAL
669221,2,2026-09-12,Sean,Murphy,ATL
673237,2,2026-09-12,Yainer,Diaz,HOU
672515,2,2026-09-12,Gabriel,Moreno,AZ
683953,2,2026-09-12,Travis,Bazzana,CLE
646240,2,2026-09-12,Rafael,Devers,SF
666126,2,2026-09-12,Carlos,Cortes,ATH
681297,2,2026-09-12,Colton,Cowser,BAL
681715,2,2026-09-12,Heriberto,Hernandez,MIA
665489,2,2026-09-12,Vladimir,Guerrero,TOR
682928,2,2026-09-12,CJ,Abrams,WSH
543807,2,2026-09-12,George,Springer,TOR
695336,2,2026-09-12,Thomas,Saggese,STL
676391,2,2026-09-11,Ernie,Clement,TOR
691181,1,2026-09-12,,,MIN
691026,1,2026-09-12,Masyn,Winn,STL
703197,1,2026-09-12,,,SEA
807726,1,2026-09-12,John,Peck,DET
605353,1,2026-09-10,Vimael,Machín,COL
664761,1,2026-09-12,Alec,Bohm,PHI
690993,1,2026-09-12,Colt,Keith,DET
607043,1,2026-09-12,Brandon,Nimmo,TEX
669701,1,2026-09-12,Josh,Smith,TOR
666023,1,2026-09-11,Freddy,Fermin,SD
679529,1,2026-09-12,Spencer,Torkelson,DET
640459,1,2026-09-08,Brian,Navarreto,MIA
645305,1,2026-09-12,Ali,Sánchez,NYY
694203,1,2026-09-12,Denzer,Guzman,LAA
681987,1,2026-09-09,Nate,Eaton,BOS
650402,1,2026-09-12,Gleyber,Torres,DET
592663,1,2026-09-12,J. T.,Realmuto,PHI
608369,1,2026-09-12,Corey,Seager,TEX
607208,1,2026-09-12,Trea,Turner,PHI
677649,1,2026-09-12,Ezequiel,Duran,TEX
701852,1,2026-09-12,Drew,Cavanaugh,SF
694673,1,2026-09-12,Abimelec,Ortiz,WSH
805808,1,2026-09-12,Kevin,McGonigle,DET
605141,1,2026-09-12,Mookie,Betts,LAD
672695,1,2026-09-12,Geraldo,Perdomo,AZ
671976,1,2026-09-12,Tristan,Peters,CWS
808959,1,2026-09-12,Munetaka,Murakami,CWS
642350,1,2026-09-12,José,Siri,LAA
686765,1,2026-09-12,Nick,Sogard,BOS
656537,1,2026-09-11,Derek,Hill,PHI
592885,1,2026-09-12,Christian,Yelich,MIL
656811,1,2026-09-12,Ryan,O'Hearn,PIT
664040,1,2026-09-12,Brandon,Lowe,PIT
694378,1,2026-09-12,Jacob,Gonzalez,PIT
685133,1,2026-09-12,Wade,Meckler,LAA
669394,1,2026-09-12,Jake,Burger,TEX
694497,1,2026-09-12,Evan,Carter,TEX
663886,1,2026-09-12,Tyler,Stephenson,CIN
682829,1,2026-09-12,Elly,De La Cruz,CIN
682877,1,2026-09-12,Juan,Brito,CIN
642215,1,2026-09-12,Weston,Wilson,SEA
687093,1,2026-09-12,Vaughn,Grissom,LAA
681351,1,2026-09-11,Logan,O'Hoppe,TEX
553869,1,2026-09-12,Elías,Díaz,TEX
701678,1,2026-09-12,Hao-Yu,Lee,DET
668709,1,2026-09-12,JJ,Bleday,CIN
690984,1,2026-09-08,Petey,Halpin,CLE
683766,1,2026-09-12,Christian,Koss,SF
668952,1,2026-09-12,Ryan,Kreidler,MIN
694376,1,2026-09-12,Shay,Whitcomb,SF
650968,1,2026-09-12,Yohel,Pozo,BAL
665953,1,2026-09-12,Andrés,Chaparro,WSH
687551,1,2026-09-12,Drew,Gilbert,SF
666176,1,2026-09-12,Jo,Adell,CLE
553993,1,2026-09-12,Eugenio,Suárez,CIN
677942,1,2026-09-08,Blaze,Alexander,BAL
668939,1,2026-09-12,Adley,Rutschman,BOS
807712,1,2026-09-12,Luke,Keaschall,MIN
686797,1,2026-09-12,Brooks,Lee,MIN
624428,1,2026-09-11,Adam,Frazier,LAA
676724,1,2026-09-12,Jared,Young,NYM
518595,1,2026-09-08,Travis,d'Arnaud,LAA
696285,1,2026-09-12,Jacob,Young,WSH
687859,1,2026-09-11,Troy,Johnston,COL
502671,1,2026-09-12,Paul,Goldschmidt,NYY
665926,1,2026-09-12,Andrés,Giménez,TOR
689414,1,2026-09-12,Liam,Hicks,TB
671739,1,2026-09-12,Michael,Harris,ATL
645277,1,2026-09-12,Ozzie,Albies,ATL
660821,1,2026-09-08,Jesús,Sánchez,TOR
624413,1,2026-09-12,Pete,Alonso,BAL
672386,1,2026-09-12,Alejandro,Kirk,TOR
677951,1,2026-09-12,Bobby,Witt,KC
656976,1,2026-09-12,Pavin,Smith,AZ
678662,1,2026-09-12,Ezequiel,Tovar,COL
696100,1,2026-09-12,Hunter,Goodman,COL
681198,1,2026-09-12,TJ,Rumfield,COL
691720,1,2026-09-12,Kyle,Karros,COL
686668,1,2026-09-11,Brenton,Doyle,CWS
680577,1,2026-09-12,DaShawn,Keirsey,ATL
802415,1,2026-09-12,Chandler,Simpson,TB
671218,1,2026-09-12,Heliot,Ramos,NYY
808982,1,2026-09-12,Jung Hoo,Lee,SF
676439,1,2026-09-12,Hunter,Feduccia,LAD
699302,1,2026-09-12,Héctor,Rodríguez,CIN
691728,1,2026-09-11,Zac,Veen,COL
668800,1,2026-09-11,Andrew,Knizner,SF
805805,0,2026-09-11,Walker,Jenkins,MIN
683090,0,2026-09-12,Matthew,Lugo,KC
677943,0,2026-09-11,Will,Banfield,CIN
695491,0,2026-09-12,Joshua,Báez,STL
806367,0,2026-09-12,Turner,Hill,SF
801126,0,2026-09-12,Brock,Rodden,SEA
701785,0,2026-09-12,Kaelen,Culpepper,MIN
694197,0,2026-09-11,Angel,Genao,CLE
682927,0,2026-09-09,Ronny,Simon,PIT
806146,0,2026-09-12,George,Lombard,NYY
671056,0,2026-09-12,Iván,Herrera,STL
669224,0,2026-09-12,Austin,Wells,NYY
592450,0,2026-09-12,Aaron,Judge,NYY
650333,0,2026-09-12,Luis,Arráez,PHI
676609,0,2026-09-09,José,Caballero,NYY
657041,0,2026-09-07,Lane,Thomas,ATL
665161,0,2026-09-12,Jeremy,Peña,HOU
682663,0,2026-09-12,Agustín,Ramírez,MIA
683357,0,2026-09-12,Owen,Caissie,MIA
805300,0,2026-09-12,Jakob,Marsee,MIA
691594,0,2026-09-12,Javier,Sanoja,MIA
663330,0,2026-09-11,Jahmai,Jones,BOS
656716,0,2026-09-11,Zach,McKinstry,DET
642708,0,2026-09-12,Amed,Rosario,NYY
671732,0,2026-09-12,Lawrence,Butler,ATH
643446,0,2026-09-12,Jeff,McNeil,ATH
672016,0,2026-09-12,Denzel,Clarke,ATH
662139,0,2026-09-12,Daulton,Varsho,HOU
605170,0,2026-09-12,Víctor,Caratini,MIN
645302,0,2026-09-12,Víctor,Robles,SEA
602104,0,2026-09-09,Ramón,Urías,STL
664702,0,2026-09-12,Myles,Straw,TOR
695506,0,2026-09-12,Jac,Caglianone,KC
686555,0,2026-09-12,Isaac,Collins,KC
642201,0,2026-09-08,Eli,White,BOS
621566,0,2026-09-12,Matt,Olson,ATL
677588,0,2026-09-12,José,Tena,WSH
657136,0,2026-09-08,Connor,Wong,BOS
663993,0,2026-09-12,Nathaniel,Lowe,CLE
624431,0,2026-09-09,Jose,Trevino,CIN
678489,0,2026-09-09,Jorge,Barrosa,HOU
543510,0,2026-09-09,James,McCann,AZ
663968,0,2026-09-12,Jake,Mangum,PIT
668901,0,2026-09-11,Mark,Vientos,NYM
624641,0,2026-09-12,Edmundo,Sosa,PHI
668670,0,2026-09-11,Jake,Rogers,CWS
681807,0,2026-09-12,David,Fry,CLE
694212,0,2026-09-12,Samuel,Basallo,BAL
668885,0,2026-09-12,Austin,Martin,MIN
605137,0,2026-09-12,Josh,Bell,MIN
621493,0,2026-09-11,Taylor,Ward,SEA
664023,0,2026-09-12,Ian,Happ,CHC
694208,0,2026-09-12,Moisés,Ballesteros,LAA
608348,0,2026-09-12,Carson,Kelly,CHC
691277,0,2026-09-08,Deyvison,De Los Santos,MIA
664954,0,2026-09-09,Brett,Sullivan,COL
596142,0,2026-09-08,Gary,Sánchez,MIL
623168,0,2026-09-12,Tyler,Heineman,LAA
686475,0,2026-09-11,Tyler,Tolbert,KC
664728,0,2026-09-12,Kyle,Isbel,KC
642086,0,2026-09-11,Dominic,Smith,ATL
665750,0,2026-09-12,Leody,Taveras,BAL
687637,0,2026-09-12,Dylan,Beavers,BAL
665804,0,2026-09-08,Miguel,Amaya,CHC
695734,0,2026-09-12,Daylen,Lile,WSH
691718,0,2026-09-12,Pete,Crow-Armstrong,CHC
691781,0,2026-09-12,Brady,House,WSH
807713,0,2026-09-12,Matt,Shaw,CHC
624424,0,2026-09-12,Michael,Conforto,CHC
683083,0,2026-09-09,Nasim,Nuñez,WSH
666160,0,2026-09-11,Mickey,Moniak,COL
665877,0,2026-09-12,José,Fermín,STL
804606,0,2026-09-12,Konnor,Griffin,PIT
669743,0,2026-09-09,Alex,Call,LAD
621438,0,2026-09-12,Tyrone,Taylor,CHC
665561,0,2026-09-12,Rafael,Marchán,PHI
622761,0,2026-09-12,Jorge,Mateo,TB
679845,0,2026-09-12,Nick,Loftin,KC
571657,0,2026-09-12,Kyle,Farmer,ATL
655316,0,2026-09-08,Andruw,Monasterio,BOS
543877,0,2026-09-12,Christian,Vázquez,HOU
643396,0,2026-09-12,Isiah,Kiner-Falefa,BOS
680776,0,2026-09-12,Jarren,Duran,BOS
670770,0,2026-09-12,TJ,Friedl,CIN
680574,0,2026-09-11,Matt,McLain,CIN
665966,0,2026-09-12,Carlos,Narváez,BAL
663647,0,2026-09-12,Ke'Bryan,Hayes,CIN
672724,0,2026-09-12,Oswald,Peraza,LAA
677956,0,2026-09-12,Rece,Hinds,BAL
680869,0,2026-09-12,Zack,Gelof,ATH
673548,0,2026-09-12,Seiya,Suzuki,CHC
695257,0,2026-09-11,Billy,Cook,PIT
666211,0,2026-09-12,Taylor,Trammell,HOU
678218,0,2026-09-09,Brandon,Valenzuela,TOR
680728,0,2026-09-09,Adrian,Del Castillo,AZ
545361,0,2026-09-12,Mike,Trout,LAA
666139,0,2026-09-11,Josh,Lowe,LAA
670541,0,2026-09-10,Yordan,Álvarez,HOU
701358,0,2026-09-12,Cam,Smith,HOU
687263,0,2026-09-12,Zach,Neto,LAA
572233,0,2026-09-12,Christian,Walker,HOU
571448,0,2026-09-12,Nolan,Arenado,AZ
606192,0,2026-09-12,Teoscar,Hernández,LAD
660271,0,2026-09-07,Shohei,Ohtani,LAD
663656,0,2026-09-12,Kyle,Tucker,LAD
691788,0,2026-09-12,Joe,Mack,MIA
805811,0,2026-09-12,Bryce,Eldridge,SF
695391,0,2026-09-09,Brett,Harris,SF
666624,0,2026-09-11,Christopher,Morel,NYM
691176,0,2026-09-10,Jasson,Domínguez,NYY
670032,0,2026-09-12,Nicky,Lopez,TEX
665923,0,2026-09-12,Esteury,Ruiz,MIA
669065,0,2026-09-12,Kyle,Stowers,MIA
606466,0,2026-09-12,Ketel,Marte,AZ
691783,0,2026-09-12,Jordan,Lawlar,AZ
669257,0,2026-09-12,Will,Smith,LAD
500743,0,2026-09-11,Miguel,Rojas,LAD
682998,0,2026-09-12,Corbin,Carroll,AZ
518692,0,2026-09-12,Freddie,Freeman,LAD
700337,0,2026-09-11,Edgar,Quero,CWS
695657,0,2026-09-12,Colson,Montgomery,CWS
686611,0,2026-09-12,Dylan,Crews,WSH
675961,0,2026-09-12,Alika,Williams,ATH
683021,0,2026-09-12,Michael,Stefanic,ATH
683011,0,2026-09-12,Anthony,Volpe,NYY
673490,0,2026-09-12,Ha-Seong,Kim,ATL
805999,0,2026-09-12,A. J.,Ewing,NYM
814439,0,2026-09-12,Ryan,Waldschmidt,AZ
693409,0,2026-09-07,César,Prieto,STL
679822,0,2026-09-12,Justin,Foscue,TEX
823550,0,2026-09-12,Sung Mun,Song,SD
682668,0,2026-09-11,Luisangel,Acuña,CWS
805367,0,2026-09-12,Chase,Meidroth,CWS
643217,0,2026-09-12,Andrew,Benintendi,CWS
666152,0,2026-09-12,David,Hamilton,MIL
686217,0,2026-09-12,Sal,Frelick,MIL
666182,0,2026-09-12,Bo,Bichette,NYM
683227,0,2026-09-10,Cody,Freeman,TEX
687749,0,2026-09-12,Jase,Bowen,SD
807727,0,2026-09-11,Charles,McAdoo,TOR
663611,0,2026-09-10,Nick,Madrigal,TB
571771,0,2026-09-11,Enrique,Hernández,LAD
694371,0,2026-09-11,Tommy,Troy,AZ
622268,0,2026-09-12,Donovan,Walton,ATH
699013,0,2026-09-11,Esmerlyn,Valdez,PIT
702616,0,2026-09-12,Jackson,Holliday,BAL
669707,0,2026-09-12,Jared,Triolo,PIT
665833,0,2026-09-12,Oneil,Cruz,PIT
682626,0,2026-09-11,Francisco,Álvarez,NYM
680779,0,2026-09-12,Henry,Davis,PIT
681082,0,2026-09-12,Bryson,Stott,PHI
592626,0,2026-09-12,Joc,Pederson,TEX
656941,0,2026-09-12,Kyle,Schwarber,PHI
669016,0,2026-09-12,Brandon,Marsh,PHI
592518,0,2026-09-12,Manny,Machado,SD
701162,0,2026-09-12,Ben,Malgeri,DET
691019,0,2026-09-12,Kyle,Teel,CWS
695681,0,2026-09-12,Christian,Moore,LAA
669242,0,2026-09-12,Tommy,Edman,LAD
670231,0,2026-09-12,John,Rave,KC
695731,0,2026-09-12,Braden,Montgomery,CWS
694249,0,2026-09-12,Cole,Carrigg,COL
663457,0,2026-09-12,Lars,Nootbaar,AZ
678011,0,2026-09-12,Anthony,Seigler,BOS
664774,0,2026-09-09,LaMonte,Wade,HOU
595879,0,2026-09-11,Javier,Báez,DET
677587,0,2026-09-12,Brayan,Rocchio,CLE
800050,0,2026-09-12,Chase,DeLauter,CLE
801501,0,2026-09-12,Nate,Furman,SF
678545,0,2026-09-11,Osleivis,Basabe,SF
650559,0,2026-09-12,Bryan,De La Cruz,PHI
687952,0,2026-09-12,Christian,Encarnacion-Strand,BAL
695670,0,2026-09-12,Harry,Ford,WSH
695720,0,2026-09-12,Tommy,White,ATH
676551,0,2026-09-10,Brewer,Hicklen,ATL
687529,0,2026-09-09,Grant,McCray,SF
661531,0,2026-09-09,Brian,Serven,ATH
672613,0,2026-09-09,Eliezer,Alfonzo,LAD
815873,0,2026-09-11,Sean,Keys,TOR
608070,0,2026-09-12,José,Ramírez,CLE
663728,0,2026-09-12,Cal,Raleigh,SEA
656775,0,2026-09-12,Cedric,Mullins,TB
663743,0,2026-09-10,Nick,Fortes,TB
676475,0,2026-09-12,Alec,Burleson,STL
668723,0,2026-09-12,Ryan,Vilade,TB
650490,0,2026-09-12,Yandy,Díaz,TB
691023,0,2026-09-12,Jordan,Walker,STL
657675,0,2026-09-12,,,TOR
800543,0,2026-09-12,,,LAD
677347,0,2026-09-12,Kyren,Paris,LAA
699115,0,2026-09-11,,,CIN
806956,0,2026-09-12,,,SD
703155,0,2026-09-12,,,SEA
681230,0,2026-09-11,,,CHC
677008,0,2026-09-12,Heston,Kjerstad,BAL
691858,0,2026-09-12,,,MIA
691002,0,2026-09-11,,,WSH
