key_mlbam,name_first,name_last,team,opponent,is_home,game_pk,game_datetime,PA_L,PA_R,Expected_Bases,Expected_BB,Expected_HBP,Expected_RBI,Game_Hit_Probability,Matchup_Hit_Probability,Matchup_Ratio,Adjusted_Expected_Bases,DK_Points_Hitter_HitType,DK_Points_Hitter,dk_slot,DK_Points_Hitter_Source,Ceiling_DK_Points,n_games,Ceiling_Source,Upside_Deviation,Upside_Deviation_Source,Boom_Adjusted_DK_Points,Boom_Rate,Boom_Rate_Source,Matchup_Boom_Score
683146,Brett,Baty,NYM,NYY,False,823496,2026-09-12T17:35:00Z,82.0,344,2.028115545122587,0.3441053729786124,0.0043133802816901,0.8906057642149192,0.5912850767646761,0.5759928109232171,0.974137236939695,1.9756628733201604,5.333894625389769,6.0094148198667225,3B,model,12.0,123,player,3.9470991453795277,player,9.95651396524625,0.056910569105691054,player,0.055438704541283454
606192,Teoscar,Hernández,LAD,MIA,False,823819,2026-09-12T20:10:00Z,129.0,299,1.588084221914778,0.2703542209644397,0.0401151580243191,0.7597905351946536,0.6347693217480745,0.5475668298423276,0.8626233358827073,1.3699185091708195,3.6985059910593785,6.0080652614470615,OF,model,16.10000000000001,110,player,5.342642834478027,player,11.35070809592509,0.14545454545454545,player,0.12547248521930288
695681,Christian,Moore,LAA,WSH,False,822685,2026-09-12T20:05:00Z,35.0,59,0.9768864254167628,0.1791139124655775,0.019369624264373,0.4665528013401767,0.5659736731709799,0.5384682083605575,0.9514015119178291,0.9294112221135117,2.509224417462059,6.004424669724521,2B,model,12.0,24,player,3.5243243705025957,player,9.528749040227117,0.041666666666666664,player,0.03964172966324288
687093,Vaughn,Grissom,LAA,WSH,False,822685,2026-09-12T20:05:00Z,153.0,250,0.9761140530406052,0.2879080529661325,0.086253372194792,0.3564009309962204,0.5610134511397555,0.5667750998332262,1.01027007228038,0.9861388149192267,2.6623775725189285,5.9936381711550215,2B,model,12.0,103,player,5.065394649938249,player,11.059032821093272,0.0970873786407767,player,0.09808447303693009
694192,Jackson,Chourio,MIL,CIN,True,823737,2026-09-12T23:10:00Z,149.0,359,2.107329165558899,0.1392252249505683,0.0024114173228346,0.6750181386652503,0.673085210598916,0.6804708064792246,1.0109727502016228,2.130452362085171,5.751795287157545,5.987332071299408,OF,model,17.0,111,player,6.0514858475474265,player,12.038817918846835,0.17117117117117117,player,0.17304938967415165
687859,Troy,Johnston,COL,DET,False,824224,2026-09-12T17:10:00Z,101.0,314,0.9847741228070176,0.3537345170154301,0.0486604311984781,0.179632820756711,0.5874592734812494,0.5648558411944756,0.9615234054391087,0.9468833681497146,2.5563957173305996,5.983461395240033,OF,model,11.299999999999997,118,player,4.120284629927484,player,10.103746025167517,0.06779661016949153,player,0.0651880274873972
700250,Ben,Rice,NYY,NYM,True,823496,2026-09-12T17:35:00Z,206.0,396,1.525801821221794,0.4017646091558541,0.069578279373765,0.354988415274496,0.5873638610109144,0.6141227575572208,1.0455576148322294,1.5953137129033308,4.307027962096413,5.971429977816679,,model,18.0,137,player,5.6971056089889345,player,11.668535586805614,0.24817518248175183,player,0.2594814518561737
672640,Otto,Lopez,MIA,LAD,True,823819,2026-09-12T20:10:00Z,154.0,462,1.3005584629186602,0.2069136263955343,0.1857575134569378,0.3346598385167464,0.6676030663271071,0.5835571776627255,0.87410799484974,1.13682855020669,3.069209719848022,5.9659011886320386,SS,model,14.0,144,player,4.526829740557955,player,10.492730929189992,0.1111111111111111,player,0.09712311053886
608324,Alex,Bregman,CHC,PIT,True,824630,2026-09-12T18:20:00Z,160.0,493,2.0540790509965574,0.3925159069189052,0.0835122856912572,0.6833924339946345,0.6144460984743817,0.6140680802956766,0.999384782197098,2.052815344995816,5.542190868419705,5.963538782481475,3B,model,15.700000000000017,144,player,6.54512926940381,player,12.508668051885284,0.13194444444444445,player,0.13186326987322822
701350,Roman,Anthony,BOS,KC,True,824712,2026-09-12T20:10:00Z,51.0,136,1.2297948032359798,0.3170338680926916,0.0032754010695187,0.211054367201426,0.5887214057340663,0.5661217845486219,0.9616123671309942,1.1825858918251457,3.1927453907495287,5.942707230980142,OF,model,11.899999999999999,42,player,3.7922866834670548,player,9.734993914447196,0.09523809523809523,player,0.09158213020295182
